"episode_name","season","imdb_rating","total_votes","air_date"
"Heavy Competition",5,8.7,1913,"2009-04-16"
"Broke",5,9.1,2509,"2009-04-23"
"Casual Friday",5,8.3,1845,"2009-04-30"
"Cafe Disco",5,8.7,2107,"2009-05-07"
"Company Picnic",5,8.9,2232,"2009-05-14"
"Gossip",6,8.7,2127,"2009-09-17"
"The Meeting",6,8.2,1755,"2009-09-24"
"The Promotion",6,8,1751,"2009-10-01"
"Niagara (Parts 1&2)",6,9.3,3579,"2009-10-08"
"Mafia",6,7.7,1829,"2009-10-15"
"The Lover",6,8.6,1917,"2009-10-22"
"Koi Pond",6,8.2,1739,"2009-10-29"
"Double Date",6,8.2,1709,"2009-11-05"
"Murder",6,8.6,2016,"2009-11-12"
"Shareholder Meeting",6,8.2,1726,"2009-11-19"
"Scott's Tots",6,8.3,1981,"2009-12-03"
"Secret Santa",6,8.5,1844,"2009-12-10"
"The Banker",6,6.8,2288,"2010-01-21"
"Sabre",6,7.8,1681,"2010-02-04"
"The Manager and the Salesman",6,8.1,1670,"2010-02-11"
"The Delivery (Parts 1&2)",6,8.4,1750,"2010-03-04"
"St. Patrick's Day",6,7.8,1642,"2010-03-11"
"New Leads",6,7.9,1609,"2010-03-18"
"Happy Hour",6,8.6,1873,"2010-03-25"
"Secretary's Day",6,7.9,1613,"2010-04-22"
"Body Language",6,8,1633,"2010-04-29"
"The Cover",6,8.2,1627,"2010-05-06"
"The Chump",6,7.9,1571,"2010-05-13"
"Whistleblower",6,8,1625,"2010-05-20"
"Nepotism",7,8.4,1897,"2010-09-23"
"Counseling",7,8.3,1684,"2010-09-30"
"Andy's Play",7,8.2,1802,"2010-10-07"
"s*x Ed",7,7.9,1650,"2010-10-14"
"The Sting",7,7.8,1612,"2010-10-21"
"Costume Contest",7,8.2,1663,"2010-10-28"
"Christening",7,7.5,1668,"2010-11-04"
"Viewing Party",7,7.9,1633,"2010-11-11"
"WUPHF.com",7,7.8,1598,"2010-11-18"
"China",7,8.2,1661,"2010-12-02"
"Classy Christmas (Parts 1&2)",7,8.9,2138,"2010-12-09"
"Ultimatum",7,8.3,1695,"2011-01-20"
"The Seminar",7,7.7,1616,"2011-01-27"
"The Search",7,8.5,1742,"2011-02-03"
"PDA",7,8.4,1736,"2011-02-10"
"Threat Level Midnight",7,9.3,3525,"2011-02-17"
"Todd Packer",7,7.5,1581,"2011-02-24"
"Garage Sale",7,9.2,2742,"2011-03-24"
"Training Day",7,7.8,1655,"2011-04-14"
"Michael's Last Dundies",7,8.9,2182,"2011-04-21"
"Goodbye, Michael",7,9.7,5749,"2011-04-28"
"The Inner Circle",7,7.7,1634,"2011-05-05"
"Dwight K. Schrute, (Acting) Manager",7,8.7,1840,"2011-05-12"
"Search Committee (Parts 1&2)",7,8.8,2040,"2011-05-19"
"The List",8,8.2,1829,"2011-09-22"
"The Incentive",8,8.2,1668,"2011-09-29"
"Lotto",8,7.3,1601,"2011-10-06"
"Garden Party",8,8.1,1717,"2011-10-13"
"Spooked",8,7.6,1543,"2011-10-27"
"Doomsday",8,7.8,1476,"2011-11-03"
"Pam's Replacement",8,7.7,1563,"2011-11-10"
"Gettysburg",8,7,1584,"2011-11-17"
"Mrs. California",8,7.7,1553,"2011-12-01"
"Christmas Wishes",8,8,1547,"2011-12-08"
"Trivia",8,7.9,1488,"2012-01-12"
"Pool Party",8,8,1612,"2012-01-19"
"Jury Duty",8,7.5,1478,"2012-02-02"
"Special Project",8,7.8,1432,"2012-02-09"
"Tallahassee",8,7.9,1522,"2012-02-16"
"After Hours",8,8.1,1567,"2012-02-23"
"Test The Store",8,7.8,1478,"2012-03-01"
"Last Day In Florida",8,7.8,1429,"2012-03-08"
"Get The Girl",8,6.7,1642,"2012-03-15"
"Welcome Party",8,7.2,1489,"2012-04-12"
"Angry Andy",8,7.1,1585,"2012-04-19"
"Fundraiser",8,7.1,1453,"2012-04-26"
"Turf War",8,7.7,1393,"2012-05-03"
"Free Family Portrait Studio",8,7.8,1464,"2012-05-10"
"The New Guys",9,7.7,1577,"2012-09-20"
"Roy's Wedding",9,7.2,1477,"2012-09-27"
"Andy's Ancestry",9,7.5,1461,"2012-10-04"
"Work Bus",9,7.9,1551,"2012-10-18"
"Here Comes Treble",9,7.1,1515,"2012-10-25"
"The Boat",9,7.8,1455,"2012-11-08"
"The Whale",9,7.7,1406,"2012-11-15"
"The Target",9,7.8,1438,"2012-11-29"
"Dwight Christmas",9,8.4,1634,"2012-12-06"
"Lice",9,7.7,1470,"2013-01-10"
"Suit Warehouse",9,7.9,1441,"2013-01-17"
"Customer Loyalty",9,8,1508,"2013-01-24"
"Junior Salesman",9,7.7,1394,"2013-01-31"
"Vandalism",9,7.6,1402,"2013-01-31"
"Couples Discount",9,7.4,1407,"2013-02-07"
"Moving On",9,8.2,1572,"2013-02-14"
"The Farm",9,7.5,1656,"2013-03-14"
"Promos",9,8,1445,"2013-04-04"
"Stairmageddon",9,8,1484,"2013-04-11"
"Paper Airplane",9,8,1482,"2013-04-25"
"Livin' the Dream",9,8.9,2041,"2013-05-02"
"A.A.R.M",9,9.3,2860,"2013-05-09"
"Finale",9,9.7,7934,"2013-05-16"
